id,canonical_key,name,category,location,country,website_url,maps_url,rating,review_count,source,source_query,status,demand_score,website_pain_score,premium_fit_score,access_score,novelty_score,total_score,website_notes,business_notes,contact_email,phone,screenshot_path,last_seen_run_id,first_seen_at,updated_at,run_name,run_created_at
6,url:sunrise-paragliding.com,Sunrise Paragliding,paragliding operator,Pokhara,Nepal,https://sunrise-paragliding.com,https://www.tripadvisor.com/Attraction_Review-g293891-d3682719-Reviews-Sunrise_Paragliding-Pokhara_Gandaki_Zone_Western_Region.html,,676,DuckDuckGo public result snippets plus official site audit,Sunrise Paragliding Pokhara TripAdvisor reviews,new,29.0,22.0,18.0,10.0,5.0,84.0,"Site loads on desktop/mobile and has clear contact route, but presentation is modest for an iconic 25-year adventure brand.",Claims pioneer status and long operating history in Nepal paragliding; strong public review count.,info@sunrise-paragliding.com,+977 98171 98617,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/sunrise-paragliding/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
11,url:greenvalleynepaltreks.com,Green Valley Nepal Treks & Research Hub,trekking and climbing operator,"Thamel, Kathmandu",Nepal,https://www.greenvalleynepaltreks.com,https://www.bookmundi.com/companies/green-valley-nepal-treks-and-research-hub-pvt-ltd/c9,4.8,201,Bookmundi plus official site and Trustpilot public pages,Bookmundi Nepal tour operators Green Valley Nepal Treks,new,25.0,27.0,18.0,9.0,5.0,84.0,Audit showed almost 500 links on desktop/mobile; catalog UX overwhelms reassurance.,"High-volume EBC, Annapurna, Manaslu, and Mustang operator with public platform reviews.",info@greenvalleynepaltreks.com,+977 9841392186,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/green-valley-nepal-treks/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
10,url:nepalliontrekking.com,Nepal Lion Tours and Treks Pvt Ltd,"trekking, tours and expeditions","Paknajol/Thamel, Kathmandu",Nepal,https://nepalliontrekking.com,https://www.bookmundi.com/ta/nepal-tour-operators,4.8,168,Bookmundi plus official contact page and public snippets,Nepal Lion Tours and Treks reviews official website,new,23.0,30.0,17.0,9.0,5.0,84.0,Audit showed 400+ links and many images on both desktop/mobile; dated and noisy package taxonomy.,"Bookmundi demand plus EBC, Annapurna, Manaslu, Mustang, Tibet, Bhutan, and India coverage.",info@nepalliontrekking.com,+977 9851039020,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/nepal-lion-tours-and-treks/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
7,url:nepalparagliding.com.np,Team 5 Nepal Paragliding,paragliding operator,Pokhara,Nepal,https://nepalparagliding.com.np,https://www.tripadvisor.com/Attraction_Review-g293891-d3820420-Reviews-Team_5_Nepal_Paragliding-Pokhara_Gandaki_Zone_Western_Region.html,,363,DuckDuckGo public result snippets plus website audit,Team 5 Nepal Paragliding Pokhara reviews official website,new,26.0,24.0,18.0,10.0,5.0,83.0,Site loads but feels thin and older; relies on simple pages and basic inquiry flow.,Pilot-owned Pokhara paragliding company with public review snippets and social proof.,,+977 not captured,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/team-5-nepal-paragliding/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
13,url:himalayanpartner.com,Himalayan Partner Treks & Expedition,"trekking, expedition and heli tours","Thamel, Kathmandu",Nepal,https://himalayanpartner.com,https://www.tripadvisor.com/Attraction_Review-g293890-d12236587-Reviews-Himalayan_Partner_Treks_Expedition-Kathmandu_Kathmandu_Valley_Bagmati_Zone_Centr.html,5.0,239,Official site plus Tripadvisor public snippets,Himalayan Partner Treks reviews official website,new,26.0,25.0,17.0,9.0,5.0,82.0,Audit showed 288 links across desktop/mobile; good demand is not framed with a premium trust story.,"Tripadvisor-visible demand; US and Switzerland representatives; Everest, Annapurna, Manaslu, Mustang coverage.",info@himalayanpartner.com,+977 9851053265,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/himalayan-partner-treks/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
17,url:tigerresidency.com,Tiger Residency Resort,safari resort,"Sauraha, Chitwan",Nepal,https://www.tigerresidency.com,https://www.tripadvisor.com/Hotel_Review-g1367591-d2209627-Reviews-Tiger_Residency_Resort-Sauraha_Chitwan_District_Narayani_Zone_Central_Region.html,4.0,65,DuckDuckGo public result snippets plus website audit,Tiger Residency Resort Chitwan Tripadvisor reviews official website,new,14.0,35.0,18.0,8.0,5.0,80.0,Owned site returned 503 Service Unavailable on both desktop and mobile; mobile had horizontal overflow.,Sauraha safari hotel with modest public review evidence; severe owned-site trust failure.,,,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/tiger-residency-resort/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
20,url:himalayajourneys.com,Himalaya Journey Treks,trekking and tour operator,Kathmandu,Nepal,https://www.himalayajourneys.com,,,,Website audit plus official site,Himalaya Journey Treks official website audit,new,18.0,28.0,18.0,10.0,5.0,79.0,Audit showed 445+ links and many small images; old-style tourism layout and heavy menu depth.,Long-running Nepal/Tibet/Bhutan/India trekking and tour operator; demand needs stronger third-party verification.,himjourney@mail.com.np,+977 9851007829,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/himalaya-journey-treks/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
18,url:nepalhikingadventure.com,Nepal Hiking Adventure,trekking and tour operator,Kathmandu,Nepal,https://nepalhikingadventure.com,,,,Website audit plus official site,Nepal Hiking Adventure official website trekking company audit,new,18.0,28.0,18.0,10.0,5.0,79.0,Audit showed 364 links and 221 images on both desktop/mobile; package grid and taxonomy dominate the trust story.,"Large trek and tour catalog with EBC, Manaslu, Annapurna, heli, Tibet and Bhutan offers; demand needs deeper review verification.",sales@nepalhikingadventure.com,+977 9851087391,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/nepal-hiking-adventure/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
16,url:bardiaecolodge.com,Bardia Eco Lodge,safari lodge,Bardia National Park,Nepal,https://www.bardiaecolodge.com,https://www.tripadvisor.com/Hotel_Review-g317114-d2432667-Reviews-Bardia_Eco_Lodge-Bardia_National_Park_Bheri_Zone_Mid_Western_Region.html,4.8,97,Official site review widget plus Tripadvisor snippets,Bardia Eco Lodge Tripadvisor reviews official website,new,21.0,20.0,20.0,10.0,5.0,76.0,"Site works and includes packages, but 160+ links and generic package layout leave room for a higher-craft direct-booking story.",Wildlife lodge beside Bardia National Park with safari packages and visible multi-platform review widget.,,,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/bardia-eco-lodge/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
19,url:annapurnafoothills.com,Annapurna Foothills Treks,trekking and expedition operator,Kathmandu/Pokhara route market,Nepal,https://www.annapurnafoothills.com,,,,Website audit plus official site,Annapurna Foothills Treks official website audit,new,18.0,25.0,18.0,10.0,5.0,76.0,Audit showed 619 links on desktop/mobile; trip search and menu structure are extremely dense.,"Sherpa-led trekking/expedition positioning with Nepal, Tibet and Bhutan packages; needs demand enrichment next pass.",,+977 9841579429,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/annapurna-foothills-treks/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
21,url:annapurnaencounter.com,Annapurna Encounter,trekking and luxury tour operator,Kathmandu,Nepal,https://www.annapurnaencounter.com,,,,Website audit plus official site,Annapurna Encounter official website audit,new,18.0,24.0,18.0,10.0,5.0,75.0,Audit showed 417 links and 150+ images across desktop/mobile; product pages compete with trust cues.,"Trekking, luxury tours, peak climbing, wildlife and outbound packages; demand needs deeper review verification.",annapurnaregion@gmail.com,+9779860311119,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/annapurna-encounter/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
22,url:shreeyoganepal.wordpress.com,Shree Yoga Retreat,yoga retreat and trekking,Kathmandu/Nepal,Nepal,https://shreeyoganepal.wordpress.com,,,,Website audit plus official WordPress site,Shree Yoga Retreat Nepal official website audit,new,15.0,28.0,17.0,8.0,5.0,73.0,Public WordPress site with basic package pages; looks underpowered for paid retreats and yoga treks.,"Yoga, Ayurveda and trekking packages; needs third-party demand verification before outreach.",,,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/shree-yoga-retreat/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
23,url:talejuboutiquehotel.com,Taleju Boutique Hotel,boutique hotel,"Jyatha/Thamel, Kathmandu",Nepal,https://www.talejuboutiquehotel.com,,,,Website audit plus official site,Taleju Boutique Hotel official website reviews Kathmandu TripAdvisor,new,17.0,22.0,17.0,9.0,5.0,70.0,"Site loads but has no title in audit, many small images, generic luxury copy, and weaker mobile narrative.",Thamel boutique hotel with heritage architecture angle and direct reservation route; needs deeper demand verification.,,9802073836,.blueprint-search-nepal/runs/2026-06-30T064726-nepal-prospect-search/screenshots/taleju-boutique-hotel/desktop.png,1,2026-06-30T01:15:48+00:00,2026-06-30T01:15:48+00:00,Nepal premium tourism prospects 2026-06-30,2026-06-30T01:15:48+00:00
